#time,accel_x,accel_y,accel_z
10693.640837,-2812.782580,-296.082377,-80440.027290
10693.644164,-5773.606348,9918.759623,-75690.235202
10693.647491,-444.123565,6365.771101,-75383.797003
10693.650818,-4737.318029,5477.523971,-75996.673402
10693.654145,-3404.947333,5625.565159,-72779.072310
10693.657472,-1924.535449,2664.741391,-72932.291410
10693.660799,-2960.823768,10807.006753,-67109.965625
10693.664126,-1332.370696,9178.553681,-72932.291410
10693.667412,-2368.659014,-5625.565159,-90399.268764
10693.670698,-5033.400406,9326.594869,-74004.825107
10693.673983,-740.205942,10510.924376,-61747.297139
10693.677269,888.247130,1332.370696,-68948.594820
10693.680555,-5773.606348,8142.265362,-75537.016103
10693.683841,-2516.700203,5773.606348,-79520.712692
10693.687126,-2072.576638,296.082377,-84270.504780
10693.690412,-5033.400406,12287.418637,-67722.842023
10693.693698,-296.082377,7698.141797,-69255.033019
10693.696984,-1628.453072,-1776.494261,-79367.493593
10693.700269,-7254.018232,6365.771101,-75690.235202
10693.703555,-1184.329507,8734.430116,-72319.415011
10693.706841,-1924.535449,-592.164754,-79214.274493
10693.710127,-5181.441594,10362.883188,-70940.443115
10693.713413,1036.288319,4737.318029,-77069.207099
10693.716698,-4885.359217,1776.494261,-78601.398095
10693.719984,-5773.606348,5329.482782,-72472.634111
10693.723270,740.205942,7402.059420,-68948.594820
10693.726556,-3404.947333,4293.194464,-77222.426198
10693.729841,-4145.153275,5181.441594,-81818.999186
10693.733127,-1480.411884,3552.988522,-74158.044206
10693.736413,-3849.070898,7105.977043,-71553.319513
10693.739699,2960.823768,13767.830521,-67722.842023
10693.742985,-740.205942,2368.659014,-86109.133975
10693.746270,-4737.318029,2664.741391,-88407.420469
10693.749556,148.041188,4293.194464,-77222.426198
10693.752842,-148.041188,-1036.288319,-80286.808190
10693.756128,-9326.594869,-740.205942,-77528.864398
10693.759413,-1480.411884,3108.864956,-81818.999186
10693.762699,1776.494261,-3256.906145,-90858.926063
10693.765985,-7846.182985,9474.636058,-77835.302597
10693.769271,5773.606348,7994.224174,-59295.791545
10693.772297,3701.029710,6957.935855,-63432.707234
10693.775324,-16136.489536,9474.636058,-64811.679131
10693.778350,-3849.070898,10658.965565,-72319.415011
10693.781377,1480.411884,1924.535449,-82125.437386
10693.784404,-7105.977043,10510.924376,-72779.072310
10693.787430,148.041188,11251.130318,-63739.145434
10693.790457,-7550.100608,6217.729913,-66803.527426
10693.793483,-2960.823768,7994.224174,-64811.679131
10693.796510,888.247130,8882.471304,-68795.375720
10693.799536,-4589.276840,10214.842000,-76915.987999
10693.802563,-17320.819043,7254.018232,-76149.892501
10693.805590,2072.576638,6957.935855,-79673.931792
10693.808616,-9326.594869,1776.494261,-78141.740796
10693.811643,-7402.059420,3997.112087,-77528.864398
10693.814669,-6217.729913,5181.441594,-72472.634111
10693.817696,-7402.059420,8142.265362,-70174.347617
10693.820722,-5033.400406,11991.336260,-75383.797003
10693.823749,-3701.029710,6513.812290,-84576.942979
10693.826776,-7402.059420,9474.636058,-77835.302597
10693.829802,148.041188,9918.759623,-74004.825107
10693.832829,-1776.494261,3552.988522,-70787.224015
10693.835855,-11547.212695,7254.018232,-66037.431928
10693.838882,-7846.182985,10214.842000,-66803.527426
10693.841908,4145.153275,-1332.370696,-76149.892501
10693.844935,-2072.576638,11251.130318,-67416.403824
10693.847962,3997.112087,16136.489536,-57457.162350
10693.850988,-11991.336260,9030.512492,-66037.431928
10693.854015,-10807.006753,-3552.988522,-105874.397824
10693.857041,10066.800811,-16136.489536,-104035.768628
10693.860068,7550.100608,7254.018232,-45506.072581
10693.863094,-10362.883188,22502.260637,-16088.005458
10693.866121,7994.224174,444.123565,-65271.336430
10693.869208,6069.688724,-4293.194464,-83351.190182
10693.872295,3404.947333,-8586.388927,-96068.375449
10693.875382,148.041188,8438.347739,-64505.240932
10693.878469,-1628.453072,13175.665768,-50562.302868
10693.881556,5329.482782,1776.494261,-73698.386908
10693.884643,3997.112087,0.000000,-75537.016103
10693.887730,-5033.400406,-740.205942,-95915.156350
10693.890817,-4737.318029,5921.647536,-79061.055394
10693.893904,4145.153275,6957.935855,-64505.240932
10693.896991,-8586.388927,3849.070898,-67263.184724
10693.900078,-9178.553681,8438.347739,-65730.993728
10693.903165,-3108.864956,1184.329507,-80593.246390
10693.906252,-2664.741391,-2516.700203,-82431.875585
10693.909339,3997.112087,11251.130318,-60521.544342
10693.912426,444.123565,4145.153275,-60521.544342
10693.915513,-2072.576638,-2664.741391,-75383.797003
10693.918600,10214.842000,-8142.265362,-75383.797003
10693.921687,8290.306550,740.205942,-68335.718422
10693.924774,-3108.864956,10066.800811,-64045.583633
10693.927861,-592.164754,14804.118840,-63279.488135
10693.930948,6513.812290,2368.659014,-76609.549800
10693.934035,6661.853478,4589.276840,-86262.353075
10693.937122,-7254.018232,6661.853478,-87028.448573
10693.940209,-11399.171507,-592.164754,-81972.218286
