#time,accel_x,accel_y,accel_z
13558.755599,-3997.112087,3256.906145,-76303.111601
13558.758887,-3552.988522,7698.141797,-73545.167808
13558.762176,-1184.329507,6661.853478,-73085.510509
13558.765464,-5477.523971,4589.276840,-73391.948708
13558.768753,-4145.153275,7846.182985,-75843.454302
13558.772041,3701.029710,5181.441594,-78448.178995
13558.775330,296.082377,5329.482782,-83197.971083
13558.778618,3997.112087,9326.594869,-82278.656485
13558.781906,6809.894666,12287.418637,-77835.302597
13558.785195,-1924.535449,9030.512492,-82585.094684
13558.788483,1184.329507,7550.100608,-70634.004916
13558.791772,-13767.830521,-2072.576638,-64045.583633
13558.795060,-2072.576638,8734.430116,-53013.808462
13558.798349,-11695.253884,1924.535449,-62973.049936
13558.801639,1036.288319,6513.812290,-60981.201641
13558.804929,-8586.388927,-1332.370696,-91165.364262
13558.808220,14656.077652,9918.759623,-92237.897959
13558.811510,-3404.947333,-8586.388927,-96528.032748
13558.814800,-8438.347739,2072.576638,-63432.707234
13558.818091,-5033.400406,14063.912898,-40909.499593
13558.821381,-9770.718434,9178.553681,-41062.718693
13558.824671,-13619.789333,5477.523971,-60368.325242
13558.827962,-1332.370696,-2664.741391,-89173.515967
13558.831252,2072.576638,-1776.494261,-94842.622652
13558.834542,-5181.441594,9622.677246,-80899.684589
13558.837833,-5329.482782,7254.018232,-78294.959896
13558.841123,-1332.370696,6957.935855,-72472.634111
13558.844413,-2220.617826,5773.606348,-75383.797003
13558.847704,-4293.194464,-1924.535449,-79673.931792
13558.850994,-11103.089130,-4145.153275,-77222.426198
13558.854285,-3108.864956,1480.411884,-66190.651027
13558.857575,-4589.276840,3701.029710,-66956.746525
13558.860865,-3849.070898,3404.947333,-72472.634111
13558.864156,-5033.400406,6661.853478,-80286.808190
13558.867446,-2368.659014,-740.205942,-86262.353075
13558.870736,-10658.965565,3108.864956,-69561.471218
13558.874027,10658.965565,5773.606348,-67569.622924
13558.877317,3108.864956,-6809.894666,-82431.875585
13558.880607,-32865.143825,-8734.430116,-79980.369991
13558.883898,-7698.141797,21762.054695,-35700.050207
13558.887188,-6809.894666,38490.708984,-38304.774900
13558.890478,39230.914926,3256.906145,-136671.436843
13558.893769,4293.194464,-34197.514520,-175282.649942
13558.897059,-8734.430116,-18801.230927,-146017.801919
13558.900349,-4737.318029,31828.855506,-7814.174080
13558.903640,-6661.853478,34937.720462,5669.106685
13558.906932,-888.247130,-1184.329507,-94842.622652
13558.910224,-9178.553681,-15100.201217,-137131.094142
13558.913516,-2220.617826,1332.370696,-99898.852939
13558.916808,5033.400406,10066.800811,-80133.589091
13558.920100,-1332.370696,14359.995275,-72779.072310
13558.923392,1628.453072,8142.265362,-83810.847481
13558.926684,-1332.370696,1332.370696,-83044.751983
13558.929976,2368.659014,11843.295072,-56384.628653
13558.933268,7105.977043,6513.812290,-66190.651027
13558.936560,888.247130,8734.430116,-61900.516238
13558.939852,-2516.700203,1480.411884,-79673.931792
13558.943144,4589.276840,3404.947333,-81359.341888
13558.946436,-4293.194464,6217.729913,-72012.976812
13558.949728,-592.164754,11251.130318,-66956.746525
13558.953020,-5181.441594,13767.830521,-55465.314055
13558.956312,10066.800811,9770.718434,-79061.055394
13558.959604,5329.482782,5625.565159,-92850.774358
13558.962896,-4145.153275,2960.823768,-77069.207099
13558.966188,-13027.624579,10955.047942,-62360.173537
13558.969480,9918.759623,15248.242405,-56691.066852
13558.972771,3997.112087,1776.494261,-72012.976812
13558.976063,-17172.777854,19245.354492,-66190.651027
13558.979355,15248.242405,18801.230927,-76609.549800
13558.982647,7994.224174,-5181.441594,-112922.476405
13558.985939,-10066.800811,-22354.219448,-106334.055122
13558.989231,-30496.484810,-16136.489536,-89326.735067
13558.992523,-32124.937883,38638.750172,23595.741338
13558.995815,13471.748144,23686.590144,-26660.123330
13558.999107,4441.235652,-22354.219448,-164097.655672
13559.002399,5625.565159,-21169.889941,-155670.605194
13559.005691,-12583.501014,13619.789333,-32635.668215
13559.008983,-1776.494261,31088.649564,-14862.252661
13559.012276,-8882.471304,5625.565159,-39683.746796
13559.015569,-14211.954086,-3108.864956,-78141.740796
13559.018862,-7105.977043,-4145.153275,-86262.353075
13559.022155,-3108.864956,5477.523971,-74158.044206
13559.025448,-8438.347739,11103.089130,-65730.993728
13559.028741,7550.100608,6661.853478,-81512.560987
13559.032034,-7105.977043,4589.276840,-91471.802461
13559.035327,1036.288319,6957.935855,-91012.145162
13559.038620,2368.659014,11103.089130,-66037.431928
13559.041913,-11399.171507,7402.059420,-60521.544342
13559.045206,-5773.606348,8142.265362,-69561.471218
13559.048499,5625.565159,-2072.576638,-84270.504780
13559.051792,-7994.224174,-4737.318029,-84730.162079
13559.055085,-16728.654289,6809.894666,-64045.583633
13559.058377,-2516.700203,9030.512492,-64198.802732
13559.061670,-2516.700203,2368.659014,-66497.089226
13559.064963,6957.935855,9918.759623,-90092.830565
13559.068256,-10066.800811,-6069.688724,-105414.740525
13559.071549,-2072.576638,11103.089130,-80286.808190
13559.074842,4145.153275,-5773.606348,-75383.797003
13559.078135,-26203.290347,-6809.894666,-58836.134246
13559.081428,-31532.773129,1628.453072,-51634.836565
13559.084721,-21614.013506,27387.619854,4596.572988
13559.088014,-1924.535449,36122.049970,-44586.757984
13559.091307,43672.150578,-16136.489536,-182637.166723
13559.094600,1332.370696,-16284.530724,-161492.930978
13559.097893,-1628.453072,-4293.194464,-125639.661672
13559.101186,-2664.741391,28275.866984,-9652.803275
13559.104479,888.247130,26647.413912,-17773.415554
13559.107772,-6809.894666,-14804.118840,-106334.055122
13559.111065,-9474.636058,2220.617826,-98366.661943
13559.114358,6809.894666,14211.954086,-78294.959896
13559.117650,888.247130,10510.924376,-66803.527426
13559.120943,-2072.576638,8438.347739,-75690.235202
13559.124236,8142.265362,1776.494261,-89020.296868
13559.127529,2072.576638,3701.029710,-78448.178995
13559.130822,-1036.288319,9030.512492,-62973.049936
13559.134115,-3552.988522,10510.924376,-50715.521968
13559.137408,-8438.347739,10955.047942,-54086.342159
13559.140701,2812.782580,11843.295072,-67722.842023
13559.143994,444.123565,3849.070898,-90092.830565
13559.147287,-3404.947333,5773.606348,-90246.049664
13559.150580,9474.636058,19097.313304,-71093.662214
13559.153873,-2664.741391,9326.594869,-70021.128517
13559.157166,3997.112087,9622.677246,-75537.016103
13559.160459,444.123565,-4441.235652,-90399.268764
13559.163752,3997.112087,10658.965565,-76762.768900
13559.167045,0.000000,3849.070898,-77222.426198
13559.170337,-23982.672521,15396.283594,-53626.684860
13559.173630,-25759.166782,10362.883188,-45352.853482
13559.176923,10807.006753,17172.777854,-53013.808462
13559.180216,20873.807564,-888.247130,-119664.116788
13559.183509,-444.123565,-35233.802839,-149848.279409
13559.186802,-43820.191766,6217.729913,-30643.819920
13559.190095,4293.194464,39823.079680,35393.612008
13559.193388,-7254.018232,27831.743419,15628.348159
13559.196681,-5773.606348,-2368.659014,-111083.847210
13559.199974,6661.853478,-24278.754898,-164863.751170
13559.203267,-3552.988522,15840.407159,-67876.061123
13559.206560,-3552.988522,14656.077652,-35240.392908
13559.209853,-9474.636058,3552.988522,-49642.988270
13559.213146,-11843.295072,2664.741391,-71706.538613
13559.216439,-4293.194464,1332.370696,-78294.959896
13559.219732,-8734.430116,3849.070898,-75690.235202
13559.223024,740.205942,9326.594869,-79827.150892
13559.226317,-592.164754,4145.153275,-89020.296868
13559.229609,-3701.029710,-740.205942,-90552.487864
13559.232902,-6365.771101,-296.082377,-85955.914876
13559.236194,-6661.853478,2960.823768,-68488.937521
13559.239487,-2664.741391,6069.688724,-59755.448844
13559.242779,-1628.453072,2072.576638,-72932.291410
13559.246072,-5477.523971,-4441.235652,-90858.926063
13559.249364,-740.205942,-2516.700203,-87488.105872
13559.252657,-17468.860231,-3997.112087,-79827.150892
13559.255949,-888.247130,16432.571912,-52554.151163
13559.259242,-11547.212695,-3849.070898,-68642.156621
13559.262534,-19689.478057,7402.059420,-71400.100414
13559.265827,1036.288319,10955.047942,-74924.139704
13559.269119,30496.484810,10214.842000,-104342.206828
13559.272412,2368.659014,-7994.224174,-126558.976270
13559.275704,-29756.278868,-7105.977043,-73391.948708
13559.278997,-18505.148550,39971.120868,36312.926605
13559.282289,-4885.359217,42043.697506,38917.651298
13559.285582,1184.329507,4293.194464,-79061.055394
13559.288875,1924.535449,-16284.530724,-169000.666859
13559.292167,2220.617826,-740.205942,-106027.616923
13559.295460,888.247130,37750.503042,-16854.100956
13559.298752,-2220.617826,13471.748144,-47038.263577
13559.302045,3256.906145,10658.965565,-62206.954438
13559.305337,-2812.782580,-3256.906145,-93003.993457
13559.308630,148.041188,3997.112087,-84730.162079
13559.311922,-5625.565159,13767.830521,-65730.993728
13559.315215,1924.535449,8438.347739,-62666.611736
13559.318507,-7846.182985,4885.359217,-80746.465489
13559.321800,1924.535449,5773.606348,-83197.971083
13559.325092,3404.947333,444.123565,-86875.229473
13559.328384,-13471.748144,8734.430116,-72932.291410
13559.331677,9918.759623,11695.253884,-69561.471218
13559.334969,7698.141797,10955.047942,-75383.797003
13559.338261,-10807.006753,9622.677246,-77528.864398
13559.341553,-2960.823768,0.000000,-76303.111601
13559.344845,1776.494261,12287.418637,-66343.870127
13559.348137,2368.659014,9474.636058,-74770.920605
13559.351429,4737.318029,13175.665768,-93003.993457
13559.354722,10510.924376,8734.430116,-90552.487864
13559.358014,4293.194464,-2812.782580,-108325.903417
13559.361306,-7254.018232,-8290.306550,-79367.493593
13559.364598,-30644.525999,11251.130318,-18845.949251
13559.367890,7105.977043,32124.937883,-19152.387450
13559.371182,17912.983796,-7550.100608,-144179.172724
13559.374474,-5033.400406,-32272.979071,-170992.515154
13559.377767,-5773.606348,-13915.871710,-138050.408740
13559.381059,-9474.636058,20725.766376,-12104.308868
13559.384351,-18801.230927,25611.125593,1532.190996
13559.387643,-3849.070898,-11843.295072,-101584.263035
13559.390935,7994.224174,-11843.295072,-124260.689776
13559.394227,-14063.912898,-2812.782580,-100358.510238
13559.397519,-6069.688724,8734.430116,-69255.033019
13559.400812,4293.194464,9178.553681,-66190.651027
13559.404104,-2664.741391,7550.100608,-76303.111601
13559.407396,-8290.306550,3108.864956,-87488.105872
13559.410688,2368.659014,8142.265362,-70174.347617
13559.413980,-9030.512492,9474.636058,-62513.392637
13559.417272,-1332.370696,7254.018232,-70480.785816
13559.420564,2220.617826,-2960.823768,-88713.858668
13559.423857,-14508.036463,-3997.112087,-79214.274493
13559.427149,-9178.553681,2516.700203,-64352.021832
13559.430441,-148.041188,4441.235652,-67876.061123
13559.433731,-4885.359217,11251.130318,-65424.555529
13559.437022,9918.759623,-1480.411884,-90705.706963
13559.440314,-10955.047942,-3108.864956,-95149.060852
13559.443605,-3701.029710,1924.535449,-75230.577904
13559.446896,-14508.036463,1184.329507,-56997.505051
13559.450188,-20133.601622,9030.512492,-42288.471490
13559.453479,-4589.276840,27239.578666,-41369.156892
13559.456770,32421.020260,13323.706956,-110930.628110
13559.460062,17912.983796,-24870.919651,-168081.352261
13559.463353,-26351.331535,-3404.947333,-72625.853210
13559.466645,-5477.523971,42487.821071,39530.527697
13559.469936,-7994.224174,29164.114115,27732.657028
13559.473227,-9030.512492,4441.235652,-68029.280222
13559.476519,12287.418637,-16728.654289,-152299.785002
13559.479810,-5477.523971,12583.501014,-93310.431656
13559.483101,-3701.029710,23390.507767,-41215.937792
13559.486393,6809.894666,11547.212695,-59755.448844
13559.489684,6957.935855,9030.512492,-70940.443115
13559.492975,4737.318029,6957.935855,-86722.010374
13559.496267,-3256.906145,2516.700203,-84730.162079
13559.499558,-6809.894666,12139.377449,-55312.094956
13559.502849,-888.247130,13767.830521,-63739.145434
13559.506141,3404.947333,2072.576638,-90552.487864
13559.509432,1924.535449,3552.988522,-87794.544071
13559.539050,3849.070898,592.164754,-95915.156350
13559.542341,-2960.823768,-14952.160028,-103882.549529
13559.545632,-29756.278868,9474.636058,-40296.623195
13559.548923,-25167.002028,31976.896694,-7967.393179
13559.552214,27387.619854,27535.661042,-43820.662486
13559.555505,9030.512492,-25463.084405,-165936.284867
13559.558796,-11547.212695,-15840.407159,-140042.257034
13559.562087,-7550.100608,16432.571912,-16394.443657
13559.565378,-16284.530724,25167.002028,4903.011187
13559.568669,-5625.565159,16284.530724,-32329.230016
13559.571960,7994.224174,-14359.995275,-123341.375178
13559.575251,-18653.189738,-6069.688724,-112922.476405
13559.578542,-6217.729913,11399.171507,-59602.229744
13559.581832,-3552.988522,9474.636058,-50102.645569
13559.585123,1924.535449,10362.883188,-75077.358804
13559.588414,1036.288319,-5625.565159,-98213.442844
13559.591705,-8142.265362,-8290.306550,-99745.633840
