#time,accel_x,accel_y,accel_z
2259.061533,-4441.235652,4293.194464,-75383.797003
2259.064031,-3701.029710,4885.359217,-75077.358804
2259.066529,444.123565,3552.988522,-75690.235202
2259.069027,-5921.647536,4885.359217,-73851.606007
2259.071525,-2072.576638,3404.947333,-72012.976812
2259.074023,-1332.370696,4441.235652,-73391.948708
2259.076520,-2664.741391,6661.853478,-74464.482406
2259.079018,-1776.494261,2220.617826,-75230.577904
2259.081516,-5033.400406,3701.029710,-74770.920605
2259.084014,-2960.823768,4441.235652,-73085.510509
2259.086512,-1480.411884,1924.535449,-76609.549800
2259.089010,-3552.988522,4441.235652,-76149.892501
2259.091507,-296.082377,2960.823768,-76149.892501
2259.094005,-6513.812290,1332.370696,-76303.111601
2259.096503,8438.347739,4145.153275,-75077.358804
2259.099001,888.247130,6217.729913,-71706.538613
2259.101499,-1628.453072,4293.194464,-77375.645298
2259.103996,-3552.988522,3404.947333,-79980.369991
2259.106494,23538.548956,2368.659014,-82431.875585
2259.108992,-9030.512492,2960.823768,-75537.016103
2259.111490,6069.688724,3108.864956,-76456.330700
2259.113988,-13619.789333,7105.977043,-73238.729609
2259.116486,-5477.523971,0.000000,-75690.235202
2259.118983,8586.388927,3404.947333,-76303.111601
2259.121481,9030.512492,10955.047942,-69867.909418
2259.124009,1332.370696,-592.164754,-72166.195912
2259.126537,-10362.883188,4441.235652,-73698.386908
2259.129065,-11695.253884,11547.212695,-72012.976812
2259.131593,-19541.436869,-4885.359217,-76456.330700
2259.134120,-1628.453072,-888.247130,-80286.808190
2259.136648,15248.242405,10510.924376,-74004.825107
2259.139176,-10807.006753,3256.906145,-74770.920605
2259.141704,-13915.871710,3404.947333,-72779.072310
2259.144232,-18949.272115,5329.482782,-70634.004916
2259.146760,-6217.729913,1628.453072,-76609.549800
2259.149287,3256.906145,5921.647536,-73545.167808
2259.151815,3997.112087,3256.906145,-75690.235202
2259.154343,-15248.242405,4145.153275,-73545.167808
2259.156871,-7698.141797,3701.029710,-72932.291410
2259.159399,-11547.212695,2220.617826,-75690.235202
2259.161927,4441.235652,2072.576638,-77375.645298
2259.164455,3108.864956,7105.977043,-74311.263306
2259.166982,-12139.377449,6957.935855,-72166.195912
2259.169510,-4441.235652,2960.823768,-72779.072310
2259.172038,-26647.413912,5181.441594,-72932.291410
2259.174566,3849.070898,4145.153275,-79520.712692
2259.177094,-3108.864956,740.205942,-77375.645298
2259.179622,-10510.924376,3701.029710,-73851.606007
2259.182149,-1628.453072,5329.482782,-76149.892501
2259.184677,-6661.853478,2664.741391,-78448.178995
2259.187205,-1036.288319,148.041188,-76609.549800
2259.189733,-14359.995275,3404.947333,-75690.235202
2259.192261,-1776.494261,8882.471304,-74770.920605
2259.194789,-296.082377,-3849.070898,-77835.302597
2259.197316,-10214.842000,-1332.370696,-76762.768900
2259.199844,-1184.329507,14804.118840,-74158.044206
2259.202372,-11103.089130,740.205942,-74770.920605
2259.204900,-3552.988522,4737.318029,-72779.072310
2259.207428,-8438.347739,3701.029710,-71093.662214
2259.209956,11251.130318,2812.782580,-77835.302597
2259.212483,-592.164754,8142.265362,-74004.825107
2259.215011,-1924.535449,-1332.370696,-76609.549800
2259.217539,888.247130,3108.864956,-73391.948708
2259.220067,444.123565,4885.359217,-72932.291410
2259.222595,1332.370696,4293.194464,-73851.606007
2259.225141,5625.565159,2220.617826,-78141.740796
2259.227687,1480.411884,5625.565159,-70174.347617
2259.230234,-6809.894666,1776.494261,-73851.606007
2259.232780,592.164754,5773.606348,-74770.920605
2259.235326,1628.453072,6513.812290,-73238.729609
2259.237873,-2220.617826,1924.535449,-75690.235202
2259.240419,-1184.329507,4145.153275,-74158.044206
2259.242965,-2516.700203,9326.594869,-70327.566716
2259.245511,-5033.400406,2368.659014,-72932.291410
2259.248058,9474.636058,2664.741391,-73698.386908
2259.250604,5625.565159,4145.153275,-74617.701505
2259.253150,-7698.141797,5181.441594,-72779.072310
2259.255697,-3404.947333,5477.523971,-71093.662214
2259.258243,-6069.688724,2960.823768,-73391.948708
2259.260789,2812.782580,2812.782580,-74924.139704
2259.263336,2368.659014,5181.441594,-73085.510509
2259.265882,-740.205942,3552.988522,-75230.577904
2259.268428,3108.864956,2812.782580,-74617.701505
2259.270974,-6661.853478,2516.700203,-76303.111601
2259.273521,9474.636058,3552.988522,-78754.617194
2259.276067,-2960.823768,2516.700203,-75690.235202
2259.278613,-15396.283594,-444.123565,-78448.178995
2259.281160,6217.729913,5181.441594,-76456.330700
2259.283706,7846.182985,4737.318029,-74004.825107
2259.286252,6365.771101,2664.741391,-75383.797003
2259.288799,296.082377,1184.329507,-74158.044206
2259.291345,-10362.883188,7550.100608,-75230.577904
2259.293891,-2812.782580,4885.359217,-74617.701505
2259.296438,5181.441594,2220.617826,-70634.004916
2259.298984,6365.771101,4145.153275,-76762.768900
2259.301530,-3849.070898,-592.164754,-79061.055394
2259.304076,-10807.006753,11843.295072,-72779.072310
2259.306623,-21465.972318,-12879.583391,-84883.381178
2259.309169,11547.212695,4441.235652,-73698.386908
2259.311715,-15692.365970,6069.688724,-75690.235202
2259.314262,888.247130,-2368.659014,-77682.083497
2259.316808,5329.482782,13323.706956,-73545.167808
2259.319354,-18949.272115,-3256.906145,-75077.358804
2259.321901,-5329.482782,2368.659014,-69101.813920
2259.324447,4885.359217,7550.100608,-74617.701505
2259.326885,-9474.636058,-888.247130,-78294.959896
2259.329322,-4589.276840,7402.059420,-69714.690318
2259.331760,-13767.830521,3256.906145,-73085.510509
2259.334198,740.205942,5181.441594,-73085.510509
2259.336635,-2220.617826,3108.864956,-75077.358804
2259.339073,-6957.935855,-296.082377,-77682.083497
2259.341511,-5033.400406,7254.018232,-74464.482406
2259.343948,-8142.265362,2960.823768,-75996.673402
2259.346386,6809.894666,-1332.370696,-77528.864398
2259.348824,-9178.553681,5477.523971,-72012.976812
2259.351261,444.123565,6217.729913,-74004.825107
2259.353699,-4737.318029,2516.700203,-74770.920605
2259.356137,-14804.118840,6365.771101,-70634.004916
