#time,accel_x,accel_y,accel_z
11416.640053,-444.123565,1036.288319,-85955.914876
11416.643677,-444.123565,-2072.576638,-80593.246390
11416.647301,-8882.471304,-5625.565159,-74004.825107
11416.650925,1036.288319,8438.347739,-67109.965625
11416.654549,7402.059420,14359.995275,-64198.802732
11416.658173,-6957.935855,-1184.329507,-81818.999186
11416.661798,-4885.359217,15988.448347,-80746.465489
11416.665422,-2368.659014,12879.583391,-78601.398095
11416.669046,-2812.782580,-148.041188,-91318.583362
11416.672670,-3108.864956,4441.235652,-87028.448573
11416.676294,-3256.906145,10955.047942,-87641.324971
11416.679918,-4441.235652,10362.883188,-74617.701505
11416.683542,1184.329507,15840.407159,-62360.173537
11416.687166,-2812.782580,8586.388927,-69101.813920
11416.690763,-1480.411884,740.205942,-82125.437386
11416.694360,296.082377,11695.253884,-72319.415011
11416.697956,-2072.576638,5921.647536,-64505.240932
11416.701553,2516.700203,14211.954086,-75230.577904
11416.705149,-4589.276840,3404.947333,-87794.544071
11416.708746,-1776.494261,7550.100608,-101584.263035
11416.712343,-6661.853478,3552.988522,-83044.751983
11416.715939,3108.864956,16728.654289,-55465.314055
11416.719536,-1036.288319,15396.283594,-58836.134246
11416.723132,-6217.729913,17912.983796,-69714.690318
11416.726729,-444.123565,11399.171507,-85189.819378
11416.730325,-2516.700203,5181.441594,-86568.791274
11416.733922,-1924.535449,7254.018232,-59142.572446
11416.737519,3849.070898,17468.860231,-53320.246661
11416.741115,-2072.576638,8142.265362,-71093.662214
11416.744712,-1036.288319,4885.359217,-96834.470947
11416.748308,2220.617826,9474.636058,-85189.819378
11416.751905,-7994.224174,9622.677246,-56691.066852
11416.755502,-1776.494261,10214.842000,-56231.409553
11416.759098,-4885.359217,1036.288319,-76609.549800
11416.762695,-5625.565159,-12287.418637,-96681.251848
11416.766291,-740.205942,12139.377449,-88560.639569
11416.769888,1184.329507,8290.306550,-75537.016103
11416.773485,-2664.741391,10362.883188,-79673.931792
11416.777081,-1628.453072,-7994.224174,-96221.594549
11416.780678,-9326.594869,-8734.430116,-83351.190182
11416.784274,-592.164754,-4145.153275,-88560.639569
11416.787871,-5033.400406,6217.729913,-51788.055665
11416.791467,-7254.018232,9178.553681,-55924.971354
11416.795064,-2812.782580,3701.029710,-82585.094684
11416.798661,1924.535449,444.123565,-89020.296868
11416.802257,444.123565,3997.112087,-81818.999186
11416.805831,-4737.318029,2072.576638,-81206.122788
11416.809393,7698.141797,10510.924376,-70327.566716
11416.812955,-2220.617826,8290.306550,-76762.768900
11416.816517,-740.205942,2220.617826,-80133.589091
11416.820079,-2664.741391,-592.164754,-74924.139704
11416.823640,-5033.400406,2812.782580,-87334.886772
11416.827202,-5033.400406,1628.453072,-69867.909418
11416.830764,-3108.864956,1036.288319,-55924.971354
11416.834326,-9030.512492,1036.288319,-66497.089226
11416.837888,-3256.906145,3256.906145,-86415.572174
11416.841450,-740.205942,-3552.988522,-82891.532884
11416.845012,-4885.359217,5181.441594,-84270.504780
11416.848574,-148.041188,6661.853478,-68182.499322
11416.852135,-6513.812290,-2368.659014,-61900.516238
11416.855697,444.123565,296.082377,-59755.448844
11416.859259,0.000000,-10510.924376,-62053.735338
11416.862821,-4145.153275,17616.901420,-53013.808462
11416.866383,-1776.494261,16728.654289,-58836.134246
11416.869945,2960.823768,11547.212695,-81512.560987
11416.873507,-2220.617826,11251.130318,-96681.251848
11416.877069,-3701.029710,6513.812290,-91165.364262
11416.880631,3849.070898,8882.471304,-73545.167808
11416.884192,-3701.029710,6957.935855,-76915.987999
11416.887754,-6957.935855,-2812.782580,-83657.628382
11416.891316,-4441.235652,9326.594869,-80133.589091
11416.894878,-1776.494261,7698.141797,-62360.173537
11416.898440,-4441.235652,6365.771101,-62666.611736
11416.902002,-9474.636058,9030.512492,-73851.606007
11416.905564,-148.041188,6661.853478,-90246.049664
11416.909126,-3701.029710,12435.459826,-86415.572174
11416.912687,-740.205942,5181.441594,-80133.589091
11416.916249,-2220.617826,5033.400406,-68335.718422
11416.919589,-4145.153275,9770.718434,-64811.679131
11416.922928,-2960.823768,10955.047942,-65424.555529
11416.926268,1480.411884,9918.759623,-74004.825107
11416.929607,1776.494261,7550.100608,-71400.100414
11416.932947,-4885.359217,7105.977043,-80133.589091
11416.936286,-5625.565159,8142.265362,-77528.864398
11416.939626,3701.029710,15988.448347,-64658.460031
11416.942965,-6513.812290,7698.141797,-66190.651027
11416.946305,-6957.935855,1036.288319,-80593.246390
11416.949645,1184.329507,11991.336260,-85343.038477
11416.952984,888.247130,-4737.318029,-84270.504780
11416.956324,-7105.977043,8734.430116,-65884.212828
11416.959663,4737.318029,13027.624579,-53779.903960
11416.963003,-7105.977043,6957.935855,-54086.342159
11416.966342,-2664.741391,148.041188,-75077.358804
11416.969682,1332.370696,3849.070898,-72472.634111
11416.973021,-10214.842000,-7254.018232,-85496.257577
11416.976361,-2072.576638,11399.171507,-69101.813920
11416.979700,5921.647536,5477.523971,-67416.403824
11416.983040,148.041188,9030.512492,-77375.645298
11416.986379,2960.823768,-5773.606348,-100511.729338
11416.989719,1628.453072,-1480.411884,-93616.869856
11416.993058,-2220.617826,1332.370696,-77528.864398
11416.996398,-3701.029710,3701.029710,-53933.123059
11416.999737,-5477.523971,1480.411884,-58682.915147
11417.003077,-7994.224174,2368.659014,-80440.027290
11417.006416,1184.329507,0.000000,-91931.459760
11417.009756,-8586.388927,-592.164754,-88713.858668
11417.013096,-5625.565159,5773.606348,-88254.201370
11417.016435,2812.782580,18209.066173,-77988.521696
11417.019775,-3997.112087,5477.523971,-83657.628382
11417.023114,-6069.688724,5477.523971,-94382.965354
11417.026478,-4589.276840,-3701.029710,-80899.684589
11417.029843,-148.041188,148.041188,-80746.465489
11417.033207,-5773.606348,6069.688724,-65271.336430
11417.036571,-5329.482782,3108.864956,-71553.319513
11417.039936,-4589.276840,-2368.659014,-91471.802461
11417.043300,-5181.441594,-5773.606348,-83964.066581
11417.046664,-4293.194464,5477.523971,-81512.560987
11417.050029,-740.205942,11547.212695,-60981.201641
11417.053393,-2072.576638,-2220.617826,-74924.139704
11417.056757,-1776.494261,-1332.370696,-89633.173266
11417.060122,-6957.935855,-11843.295072,-76456.330700
11417.063486,-1332.370696,10807.006753,-36159.707506
11417.066850,-4293.194464,27091.537477,-38457.994000
11417.070215,-5625.565159,11251.130318,-61594.078039
11417.073579,-2664.741391,12731.542202,-91165.364262
11417.076943,-4441.235652,-296.082377,-81359.341888
11417.080308,-444.123565,19541.436869,-43973.881585
11417.083672,4441.235652,13767.830521,-64505.240932
11417.087036,8882.471304,4885.359217,-78601.398095
11417.090401,-148.041188,2220.617826,-110317.751712
11417.093765,740.205942,12139.377449,-74617.701505
11417.097129,-7550.100608,21169.889941,-32942.106414
11417.100494,-1036.288319,14952.160028,-60827.982541
11417.103858,-7698.141797,-5181.441594,-109398.437114
11417.107233,-2812.782580,3404.947333,-113075.695505
11417.110608,-4145.153275,9030.512492,-94689.403553
11417.113982,-1776.494261,10214.842000,-65730.993728
11417.117357,-1628.453072,9622.677246,-65424.555529
11417.120732,-9770.718434,-1480.411884,-86415.572174
11417.124106,-2516.700203,-6365.771101,-96528.032748
11417.127481,-4293.194464,13619.789333,-93157.212557
11417.130856,-592.164754,24870.919651,-69867.909418
11417.134231,-1480.411884,15692.365970,-64045.583633
11417.137605,-8586.388927,3849.070898,-79520.712692
11417.140980,-4589.276840,-444.123565,-89020.296868
11417.144355,0.000000,8882.471304,-88867.077768
11417.147729,-5329.482782,7105.977043,-76303.111601
11417.151104,6809.894666,17172.777854,-69101.813920
11417.154479,-5181.441594,-2960.823768,-84576.942979
11417.157854,-5033.400406,7994.224174,-82125.437386
11417.161228,592.164754,-888.247130,-73085.510509
11417.164603,-4737.318029,13471.748144,-68795.375720
11417.167978,-2368.659014,4145.153275,-64658.460031
11417.171352,-9178.553681,1332.370696,-75077.358804
11417.174727,-1332.370696,-6809.894666,-75537.016103
11417.178102,1924.535449,5921.647536,-64964.898230
11417.181477,-3552.988522,4293.194464,-78907.836294
11417.184851,5625.565159,7105.977043,-98213.442844
11417.188226,740.205942,-444.123565,-101431.043935
11417.191601,2368.659014,-7698.141797,-94076.527154
11417.194975,-7550.100608,1776.494261,-62973.049936
11417.198350,1332.370696,11251.130318,-55158.875856
11417.201725,-592.164754,2220.617826,-74617.701505
11417.205099,-15100.201217,5033.400406,-77835.302597
11417.208474,-2664.741391,11251.130318,-86262.353075
11417.211849,592.164754,5477.523971,-91012.145162
11417.215225,1184.329507,5181.441594,-94995.841752
11417.218602,-2812.782580,2960.823768,-94076.527154
11417.221978,-1036.288319,1036.288319,-68182.499322
11417.225355,-5329.482782,4589.276840,-63432.707234
11417.228731,-888.247130,5625.565159,-63279.488135
11417.232108,1480.411884,-3552.988522,-78754.617194
11417.235484,-7846.182985,-10066.800811,-84423.723880
11417.238861,2368.659014,7105.977043,-73698.386908
11417.242237,-3701.029710,10955.047942,-68335.718422
11417.245614,1924.535449,13027.624579,-66190.651027
11417.248990,-1628.453072,-4885.359217,-94076.527154
11417.252366,-5033.400406,-4145.153275,-102350.358533
11417.255743,-11695.253884,1036.288319,-90092.830565
11417.259119,-9622.677246,20281.642811,-61134.420740
11417.262496,-6957.935855,6513.812290,-68795.375720
11417.265872,-9178.553681,21465.972318,-72472.634111
11417.269249,1924.535449,-2220.617826,-82891.532884
11417.272625,-14063.912898,6661.853478,-68795.375720
11417.276002,-1628.453072,8142.265362,-64964.898230
11417.279378,3108.864956,1776.494261,-70021.128517
11417.282755,1036.288319,14211.954086,-75996.673402
11417.286131,-4145.153275,13175.665768,-75077.358804
11417.289508,0.000000,10214.842000,-68795.375720
11417.292884,-2812.782580,8142.265362,-62513.392637
11417.296261,-7254.018232,11843.295072,-67109.965625
11417.299637,3108.864956,6069.688724,-80593.246390
11417.303013,1184.329507,3701.029710,-67722.842023
11417.306390,-740.205942,4589.276840,-59295.791545
11417.309766,-888.247130,-9770.718434,-52400.932063
11417.313143,-1184.329507,8734.430116,-54086.342159
11417.316519,-1924.535449,3552.988522,-76762.768900
11417.319896,1924.535449,13323.706956,-92697.555258
11417.323268,-3997.112087,11399.171507,-82891.532884
11417.326641,10066.800811,7550.100608,-80133.589091
11417.330014,-10362.883188,6513.812290,-77682.083497
11417.333386,-5625.565159,6365.771101,-75383.797003
